STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
17,031,062100,3817,+41.942869,-087.651619
17,031,062200,3244,+41.942584,-087.656648
17,031,062300,1667,+41.941692,-087.661549
17,031,062400,1673,+41.941626,-087.666084
17,031,062500,1675,+41.941371,-087.671148
17,031,062600,2477,+41.936173,-087.671328
17,031,062700,2955,+41.936310,-087.666101
17,031,062800,3851,+41.936129,-087.661230
17,031,062900,4125,+41.936354,-087.656377
17,031,063000,3417,+41.936071,-087.651490
17,031,063100,2376,+41.938399,-087.646779
17,031,063200,6900,+41.938299,-087.640690
17,031,063301,2833,+41.934303,-087.642946
17,031,063302,4577,+41.934890,-087.639872
17,031,063303,1274,+41.934519,-087.637264
17,031,063400,2417,+41.934845,-087.646870
17,031,070101,4171,+41.929678,-087.640223
17,031,070102,3063,+41.930554,-087.642057
17,031,070103,1845,+41.926831,-087.642684
17,031,070200,4200,+41.929121,-087.646181
17,031,070300,4349,+41.928875,-087.651345
17,031,070400,3250,+41.929202,-087.656149
17,031,070500,3322,+41.928929,-087.661063
17,031,070600,3449,+41.928840,-087.665411
17,031,070700,3699,+41.929415,-087.671884
17,031,071000,4357,+41.922150,-087.656020
17,031,071100,3091,+41.921460,-087.651252
17,031,071200,2973,+41.922828,-087.646319
17,031,071300,3893,+41.921963,-087.641452
17,031,071400,4962,+41.922188,-087.637769
17,031,071500,6282,+41.914434,-087.635667
17,031,071600,1793,+41.916578,-087.641242
17,031,071700,1660,+41.912806,-087.641094
17,031,071800,2652,+41.914252,-087.645802
17,031,080100,6388,+41.907109,-087.626958
17,031,080201,3375,+41.909490,-087.631252
17,031,080202,4225,+41.905745,-087.631001
17,031,080300,5499,+41.907224,-087.635365
17,031,080400,4569,+41.907907,-087.640201
17,031,081000,8746,+41.900312,-087.632126
17,031,081100,4187,+41.900474,-087.629116
17,031,081201,5080,+41.899238,-087.626440
17,031,081202,3357,+41.902394,-087.625670
17,031,081300,5540,+41.898646,-087.620822
17,031,081401,2508,+41.894779,-087.619010
17,031,081402,7052,+41.892020,-087.615397
17,031,081403,9843,+41.891498,-087.619727
17,031,081500,5917,+41.892931,-087.626514
17,031,081600,4168,+41.892255,-087.628939
17,031,081700,5537,+41.892832,-087.631881
17,031,081800,11373,+41.893087,-087.638280
17,031,081900,1325,+41.896859,-087.641585
17,031,090100,3585,+42.015328,-087.813391
